city,name
Toronto,CYYZ
Vancouver,CYVR
Montreal,CYUL
Calgary,CYYC
Edmonton,CYEG
Ottawa,CYOW
Winnipeg,CYWG
Halifax,CYHZ
Quebec City,CYQB
Saskatoon,CYXE
Kelowna,CYLW
Victoria,CYYJ
Regina,CYQR
St. John's,CYYT
Thunder Bay,CYQT
London,CYXU
Charlottetown,CYYG
Moncton,CYQM
Whitehorse,CYXY
Fort McMurray,CYMM
Kamloops,CYKA
Fredericton,CYFC
Yellowknife,CYZF
Prince George,CYXS
Deer Lake,CYDF
Iqaluit,CYFB
Grande Prairie,CYQU
Sandspit,CYZP
Qikiqtarjuaq,CYVM
Wapekeka,CYAX
